"Abattoir Ghoul",ISD,B,Creature — Zombie,3\2,,U,{3}{B},"First strike
Whenever a creature dealt damage by Abattoir Ghoul this turn dies, you gain life equal to that creature's toughness.",,,1\1
"Abbey Griffin",ISD,W,Creature — Griffin,2\2,,C,{3}{W},"Flying, vigilance",,,1\1
"Absolver Thrull",GP,W,Creature — Thrull Cleric,2\3,,C,{3}{W},"Haunt When this creature dies, exile it haunting target creature.
When Absolver Thrull enters the battlefield or the creature it haunts dies, destroy target enchantment.",,,1\1
"Absorb Vis",CFX,B,Sorcery,,,C,{6}{B},"Target player loses 4 life and you gain 4 life.
Basic landcycling {1}{B} {1}{B}, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.",,,1\1
"Abuna Acolyte",SOM,W,Creature — Cat Cleric,1\1,,U,{1}{W},"{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.
{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.",,,1\1
"Abuna's Chant",FD,W,Instant,,,C,{3}{W},"Choose one — You gain 5 life; or prevent the next 5 damage that would be dealt to target creature this turn.
Entwine {2} Choose both if you pay the entwine cost.",,,1\1
"Abundance",10E,G,Enchantment,,,R,{2}{G}{G},"If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.",,,1\1
"Abyssal Nocturnus",GP,B,Creature — Horror,2\2,,R,{1}{B}{B},"Whenever an opponent discards a card, Abyssal Nocturnus gets +2\+2 and gains fear until end of turn. It can't be blocked except by artifact creatures and\or black creatures.",,,1\1
"Abyssal Persecutor",WWK,B,Creature — Demon,6\6,,M,{2}{B}{B},"Flying, trample
You can't win the game and your opponents can't lose the game.",,,1\1
"Abyssal Specter",8E,B,Creature — Specter,2\3,,U,{2}{B}{B},"Flying
Whenever Abyssal Specter deals damage to a player, that player discards a card.",,,1\1
"Academy Researchers",10E,U,Creature — Human Wizard,2\2,,U,{1}{U}{U},"When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers.",,,1\1
"Academy Ruins",TSP,Lnd,Legendary Land,,,R,,"{T}: Add {1} to your mana pool.
{1}{U}, {T}: Put target artifact card from your graveyard on top of your library.",,,1\1
"Accorder Paladin",MBS,W,Creature — Human Knight,3\1,,U,{1}{W},"Battle cry Whenever this creature attacks, each other attacking creature gets +1\+0 until end of turn.",,,1\1
"Accorder's Shield",SOM,Art,Artifact — Equipment,,,C,{0},"Equipped creature gets +0\+3 and has vigilance.
Equip {3}",,,1\1
"Acid Web Spider",SOM,G,Creature — Spider,3\5,,U,{3}{G}{G},"Reach
When Acid Web Spider enters the battlefield, you may destroy target Equipment.",,,1\1
"Acidic Slime",M12,G,Creature — Ooze,2\2,,U,{3}{G}{G},"Deathtouch Any amount of damage this deals to a creature is enough to destroy it.
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",,,1\1
"Acidic Slime",M11,G,Creature — Ooze,2\2,,U,{3}{G}{G},"Deathtouch Any amount of damage this deals to a creature is enough to destroy it.
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",,,1\1
"Acidic Slime",M10,G,Creature — Ooze,2\2,,U,{3}{G}{G},"Deathtouch Any amount of damage this deals to a creature is enough to destroy it.
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",,,1\1
"Acolyte of Xathrid",M10,B,Creature — Human Cleric,0\1,,C,{B},"{1}{B}, {T}: Target player loses 1 life.",,,1\1
"Acquire",FD,U,Sorcery,,,R,{3}{U}{U},"Search target opponent's library for an artifact card and put that card onto the battlefield under your control. Then that player shuffles his or her library.",,,1\1
"Act of Aggression",NPH,R,Instant,,,U,{3}{RP}{RP},"{rp} can be paid with either {R} or 2 life.
Gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn.",,,1\1
"Act of Treason",M12,R,Sorcery,,,C,{2}{R},"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. It can attack and {T} this turn.",,,1\1
